"Matrix column","Category","Meaning","How the system/planner should decide","Notes"
"Persistence-backed proof required","no","Real persistence proof is not required.","Use for pure frontend/docs/static contract rows.",""
"Persistence-backed proof required","conditional","Depends on selected storage/route behavior.","Use for planning rows.",""
"Runtime verification required","yes","Live/runtime behavior proof required.","Use for user-visible runtime, API, authz, backend projection, and bug-fix evidence.",""
"Runtime verification required","no","No runtime proof required.","Use for planning-only or static artifact rows.",""
"Runtime verification required","conditional","Depends on whether implementation reaches runtime behavior.","Use for future rows.",""
"Browser/rendered proof required","yes","Browser-rendered evidence required.","Use for UI, design-system, app-page, and visual behavior.",""
"Browser/rendered proof required","no","No browser proof required.","Use for backend-only rows.",""
"Browser/rendered proof required","conditional","Required only if UI is implemented.","Use for backend foundation rows with future UI.",""
"Mock honesty required","yes","Mocks/fixtures must be compared against live API/persistence shape.","Use for runtime bug fixes, user-visible behavior, and tests using fixtures/mocks.",""
"Mock honesty required","no","Mock honesty check not required.","Use for no-runtime/no-mock artifact rows.",""
"Mock honesty required","conditional","Required if mocks/fixtures are used or runtime UI/API is implemented.","Use for planning rows.",""
"Security test posture","not-applicable","No security test posture applies.","Use for non-runtime artifact rows.",""
"Security test posture","root/tenant boundary tests required","Root/tenant separation must be tested.","Use for root/tenant authz and cross-tenant behavior.",""
"Security test posture","cross-tenant deny tests","Cross-tenant denial must be tested.","Use for tenant-scoped data and evaluator rows.",""
"Security test posture","safe denial and sensitive fallback tests","Denial responses must avoid sensitive leakage.","Use for authz denial contracts and sensitive existence checks.",""
"Security test posture","permission rendering and server-authority tests","UI must not become authority and server enforcement must hold.","Use for frontend permission exposure rows.",""
"Audit test posture","not-applicable","No audit tests required.","Use for non-audited rows.",""
"Audit test posture","denial audit tests","Denied attempts must be verified in audit evidence.","Use for sensitive deny-only posture.",""
"Audit test posture","sensitive allow/deny and mutation audit posture required","Sensitive allows, denials, or mutations must be audit-tested.","Use for authz, lifecycle, export, grant, and mutation rows.",""
"Audit test posture","required proof field tests","Audit/proof schema fields must be tested.","Use for audit/proof storage and event taxonomy rows.",""
"Compatibility test posture","not-applicable","No compatibility posture applies.","Use for purely new isolated rows with no existing contract impact.",""
"Compatibility test posture","backwards compatibility review","Review proves existing behavior remains stable.","Use for additive or shared platform changes.",""
"Compatibility test posture","backwards compatibility tests","Executable tests prove compatibility.","Use where existing routes/contracts/data could regress.",""
"Compatibility test posture","migration compatibility tests","Tests/review prove migration preserves existing environments.","Use for schema, grant, lifecycle, or data migrations.",""
"Compatibility test posture","route compatibility tests","Route behavior remains compatible or migration is explicit.","Use for route-family changes.",""
"Performance/NFR posture","not-applicable","No performance/NFR proof required.","Use for low-volume or docs-only rows.",""
"Performance/NFR posture","conditional","NFR proof depends on implementation scale/path.","Use for planning rows.",""
"Performance/NFR posture","list filters require indexed query proof","Filtering/listing must prove indexed/scalable query behavior.","Use for searchable or paginated catalog/entity lists.",""
"Performance/NFR posture","required for large export processing","Performance/resilience proof required for large exports/jobs.","Use for exports, imports, bulk work, and long-running processing.",""
"QA artifact required","yes","QA evidence artifact required.","Use for material feature loops, runtime work, frontend proof, and governed evidence gates.",""
"QA artifact required","no","No QA artifact required.","Use only for narrow non-material rows.",""
"QA artifact required","conditional","Depends on final runtime/frontend scope.","Use for planning rows.",""
"Evidence gate","planning-evidence","Planning artifacts must align.","Use before runtime work or for planning-only rows.",""
"Evidence gate","contract-evidence","Contract/API/artifact proof required.","Use for API contracts, denial contracts, and source-truth rows.",""
"Evidence gate","runtime-evidence-required","Runtime behavior proof required.","Use for API/backend behavior and user-visible runtime changes.",""
"Evidence gate","persistence-evidence-required","Real persistence/schema proof required.","Use for migrations, indexes, grants, durable storage, and audit sinks.",""
"Evidence gate","runtime-and-persistence-evidence-required","Both runtime and persistence proof required.","Use for most backend entity capabilities.",""
"Evidence gate","runtime-and-job-evidence-required","Runtime plus async/job proof required.","Use for exports, cleanup, scheduled jobs, and retryable processing.",""
"Evidence gate","runtime-and-rendered-evidence-before-ui","Runtime enforcement and rendered UI proof required before UI exposure.","Use for governed UI backed by permissions/runtime behavior.",""
"Evidence gate","audit-evidence-required","Audit evidence proof required.","Use for audit storage, event taxonomy, sensitive authz, and compliance evidence.",""
"Evidence gate","artifact-evidence","Maintained artifact update/review proof required.","Use for artifact sweep, standards, generated outputs, and traceability rows.",""
"Unit tests","Test file/case reference","Specific unit test obligations or file paths.","List exact tests, TC IDs, or planned coverage notes.","Free text in spreadsheet, but should remain traceable."
"Integration tests","Test file/case reference","Specific integration test obligations or file paths.","List exact tests, TC IDs, or planned coverage notes.","Free text in spreadsheet, but should remain traceable."
"Security tests","Test file/case reference","Specific security test obligations or file paths.","List exact tests, TC IDs, or planned coverage notes.","Free text in spreadsheet, but should remain traceable."
"Persistence-backed tests","Test file/case reference","Specific persistence-backed test obligations or file paths.","List exact tests, TC IDs, or planned coverage notes.","Free text in spreadsheet, but should remain traceable."
