Capability role,Capability area,Capability definition key,Family,Operation,Capability type,Phase,Status,Business goal,User outcome,Primary actor,Capability boundary,Tenant context rule,Authorization posture,Implementation seam,Source baseline,Complementary governance additions,Frontend/page impact,Persistence impact,Validation gates,Compatibility notes,Artifact/test expectations,Acceptance notes
entity_builder_platform_capability,definition structure,definition_surface_edit,authoring,edit_surface_model,backend or design-time,governed entity creation,first draft,Edit surface model placement routing and template metadata.,Maintainers can decide how an entity appears without hand-editing app UI.,Entity maintainer,root first; future tenant/customer authoring explicit,Surface edits must use approved topology/design-system contracts.,Definition authoring authz required.,definition_registry_seam plus design_system/topology seams,Schema formalization baseline definition-structure capability catalog,Includes app hierarchy placement page materialization and collection-view selector/status-bar contract.,Generated pages depend directly on surfaceModel and approved templates.,Definition persistence stores routing topology surfaces contract keys evidence.,Validation checks hierarchy references template keys display identity placements and page readiness.,Moving pages/routes is compatibility-sensitive; new app/module explicit approval required.,Visual/governance/frontend tests and artifact updates expected.,Acceptable when surface changes are governed and no page-local CSS/route invention occurs.
entity_builder_platform_capability,definition structure,definition_search_edit,authoring,edit_search_model,backend or design-time,governed entity creation,first draft,Edit searchable sortable filterable and faceted behavior.,Maintainers can configure search/filter behavior with storage/index evidence.,Entity maintainer,root first; future tenant/customer authoring explicit,Search edits must not weaken tenant or privacy boundaries.,Definition authoring authz required plus search review where needed.,definition_registry_seam plus feature/search seam review,Schema formalization baseline definition-structure capability catalog,Starter defaults may suggest filters; filter bar consumes approved generated filters only.,Generated filter bar/search controls depend on searchModel.,Definition persistence stores search operators storage index evidence and generated filter posture.,Validation checks operator/storage/index/type/privacy compatibility.,Search changes may require migrations indexes performance checks and docs updates.,Unit integration performance/security/frontend tests expected.,Acceptable when search behavior is explicit and index-backed where needed.
entity_builder_platform_capability,definition structure,definition_compliance_edit,security_access,edit_compliance_model,backend or design-time,governed entity creation,first draft,Edit privacy security retention export and cleanup posture.,Maintainers can classify sensitive behavior before generated pages/actions launch.,Entity maintainer/security reviewer,root first; future tenant/customer authoring explicit,Compliance edits must follow platform baseline and cannot be optional for sensitive data.,Definition authoring plus security/compliance review authz required.,definition_registry_seam plus compliance/security governance,Schema formalization baseline definition-structure capability catalog,Access promotion export import purge and page visibility depend on compliance posture.,Generated pages must not expose restricted fields or actions without approval.,Definition persistence stores classifications retention delete export cleanup evidence.,Validation checks sensitive fields export/delete/asset/audit requirements.,Sensitive changes may require ADR/runbook/asset decision and legal review.,Security privacy audit compliance and standards tests/reviews expected.,Acceptable when compliance posture is explicit before runtime exposure.
entity_builder_platform_capability,definition structure,definition_action_edit,governance_approval,edit_action_model,backend or design-time,governed entity creation,first draft,Edit action model and capability mappings.,Maintainers can define what users can do and which capability contracts govern actions.,Entity maintainer/security reviewer,root first; future tenant/customer authoring explicit,Action edits must not create runtime grants without authz mapping approval.,Definition authoring plus authz review required.,definition_registry_seam plus authz/capability governance,Schema formalization baseline definition-structure capability catalog,Role needs feed action needs; access/promotion signoff checks mapping before launch.,Generated buttons/menus derive from actionModel and runtime authz only.,Definition persistence stores action keys operation mappings errors lifecycle/status effects and evidence.,Validation checks capability definition operation seam route/test/audit contract completeness.,Permission mapping changes require maintained authz artifacts and tests.,Security audit integration frontend and artifact tests expected.,Acceptable when actions are mapped and generated UI cannot invent commands.
entity_builder_platform_capability,generation,definition_generate_docs,generation_sync,generate_docs,backend/design-time,governed entity creation,first draft,Generate deterministic docs from canonical entity definitions.,Maintainers can keep data dictionary/feature docs aligned with definition truth.,Entity maintainer/root operator initially,root first,Generation requires privileged planning context and does not change runtime access.,Generation capability required.,generation_seam,Schema formalization baseline generation capability catalog,Docs should include new views page placement staged visibility and access/promotion posture.,No direct UI except generated docs previews.,Generated docs are derived artifacts; source definition remains authoritative.,Validation ensures source version and incomplete blockers are visible.,Generated docs must not drift from current active definition or source-independent truth.,Doc generation snapshot and artifact tests expected.,Acceptable when docs are deterministic and traceable to definition version.
entity_builder_platform_capability,generation,definition_preview_ui_defaults,generation_sync,preview_ui_defaults,frontend/design-time,governed entity creation,first draft,Preview generated/default UI from entity definition without applying real app changes.,Customers and maintainers can review fields groups statuses views and placement before launch.,Entity maintainer/customer reviewer later,root first; customer preview later explicit,Preview visibility must not grant data/action access.,Generation/design-system authz required.,generation_seam plus design_system_seam,Schema formalization baseline generation capability catalog,Consumes starter defaults collection views hierarchy placement and staged visibility.,Preview shows proposed generated page/template but remains non-applied until materialization.,No durable app route unless materialization is applied; preview evidence may be stored.,Validation checks design-system template contract and page readiness.,Preview output must not become route authority or bypass design-system signoff.,Frontend visual accessibility and governance tests expected.,Acceptable when UI preview is honest and separate from applied page.
entity_builder_platform_capability,generation,definition_generate_validation_config,generation_sync,generate_validation_config,backend/design-time,governed entity creation,first draft,Generate validation configuration from approved rule catalogs.,Implementers can derive consistent validation behavior from entity definitions.,Entity maintainer/developer,root first,Generated config is planning/output unless runtime adoption is explicitly approved.,Generation capability required.,generation_seam,Schema formalization baseline generation capability catalog,Works with customer-edited starter defaults and attribute validation edits.,Generated forms may consume only after approved implementation contract.,Derived output; source definition remains authoritative.,Validation checks rule catalog compatibility before generation.,Runtime source generation blocked until explicit future approval.,Unit snapshot and compatibility tests expected.,Acceptable when generated validation is deterministic and non-authoritative unless adopted.
entity_builder_platform_capability,generation,definition_generate_search_config,generation_sync,generate_search_config,backend/design-time,governed entity creation,first draft,Generate search/index planning config from searchModel.,Implementers can plan indexes filters and search behavior consistently.,Entity maintainer/developer,root first,Generated config must respect tenant/privacy/search storage rules.,Generation plus search review capability required.,generation_seam plus feature/search review,Schema formalization baseline generation capability catalog,Collection views and starter defaults may suggest filter defaults; searchModel remains source.,Generated filter UI depends on approved config and template contract.,Derived output; migrations/indexes are not auto-created without approval.,Validation checks storage/operator/index strategy evidence.,Runtime migration/index generation blocked until explicit approval.,Unit snapshot performance-planning and artifact tests expected.,Acceptable when search config is explicit and does not hand-wave storage/index needs.
entity_builder_platform_capability,generation,definition_generate_capability_mapping_draft,generation_sync,generate_capability_mapping_draft,backend/design-time,governed entity creation,first draft,Draft capability mappings from action and role needs.,Security/planning stakeholders can review proposed authz mappings before implementation.,Entity maintainer/security reviewer,root first,Generated mappings are drafts and do not grant permissions.,Generation plus authz governance capability required.,generation_seam plus authz/capability governance,Schema formalization baseline generation capability catalog,Access-and-promotion role needs and actionModel feed mapping drafts.,Generated UI remains gated by real runtime authz not drafts.,Derived draft artifact only; permission records unchanged.,Validation checks every action maps to approved capability definition or approved custom posture.,Must update maintained permission artifacts before implementation/launch.,Security artifact and standards tests/reviews expected.,Acceptable when mappings are reviewable drafts and cannot become implicit grants.
entity_builder_platform_capability,generation,definition_generate_api_contract_draft,generation_sync,generate_api_contract_draft,backend/design-time,governed entity creation,first draft,Draft API contracts from entity actions and capabilities.,Implementers can review route contracts before building generated/planned APIs.,Entity maintainer/developer,root first,API drafts do not expose runtime endpoints until implemented through feature seams.,Generation capability required.,generation_seam,Schema formalization baseline generation capability catalog,Managed-record relationship view materialization and promotion capabilities inform route drafts.,No direct UI except docs/previews.,Derived draft artifact; no runtime route materialized automatically.,Validation checks route/action/capability contract completeness.,Existing API compatibility must be preserved; route changes require strategy.,API contract tests and docs expected before implementation.,Acceptable when API drafts are explicit and traceable to action model.
entity_builder_platform_capability,generation,definition_generate_test_draft,generation_sync,generate_test_draft,design-time,governed entity creation,first draft,Draft test cases from definition schema actions validation relationships and rollout posture.,Implementers receive traceable test expectations before code work.,Entity maintainer/developer,root first,Test drafts do not alter runtime behavior.,Generation capability required.,generation_seam,Schema formalization baseline generation capability catalog,Must include new coverage for starter defaults collection views hierarchy materialization staged visibility and authz boundaries.,No direct UI except test planning views.,Derived planning artifact only.,Validation checks required sections and risk areas before generating tests.,Test drafts must not encode mock-only behavior rejected by production contracts.,PRD test-case docs and later executable tests expected.,Acceptable when tests cover baseline capabilities plus complementary governance gates.
entity_builder_platform_capability,generation,definition_report_generate,generation_sync,generate_definition_report,backend/design-time,governed entity creation,first draft,Generate reports about entity definitions themselves.,Maintainers can review sensitive fields searchable fields placements missing evidence and compatibility gaps.,Entity maintainer/security reviewer,root first,Definition reports expose planning metadata only to authorized reviewers.,Generation/report capability required.,generation_seam,Schema formalization baseline generation capability catalog,Reports should include access promotion page readiness collection-view and starter-default evidence gaps.,No direct runtime page unless report UI later approved.,Derived report artifact; no managed-record data unless separate report capability is used.,Validation checks report scope and source version.,Must not confuse definition reports with managed-record reports/exports.,Unit snapshot security and artifact tests expected.,Acceptable when reports help governance without exposing customer data or creating runtime authority.
entity_builder_platform_capability,page materialization,page_materialization_preview,generation_sync,preview_page_materialization,frontend/design-time,governed entity creation,first draft,Preview hierarchy/page/route changes before applying a generated entity page.,Maintainers can see proposed app module parent page route template views and visibility before launch.,Entity maintainer/product reviewer,root first; customer/admin later explicit,Preview does not create access or durable route authority.,Generation/topology/design-system review required.,generation_seam plus web_app_hierarchy/design_system seams,Page materialization complementary planning artifact,Complements baseline generation and surface edit capabilities with hierarchy-aware preview.,Preview surface required before apply/promotion.,No durable hierarchy mutation during preview unless explicit preview record approved.,Validation checks persistent hierarchy references template readiness page readiness and visibility stage.,New app/module requests must be explicit; route moves compatibility-sensitive.,Frontend visual topology audit and artifact tests expected.,Acceptable when preview distinguishes definition hierarchy route template and visibility changes.
entity_builder_platform_capability,page materialization,page_materialization_apply,generation_sync,apply_page_materialization,frontend/backend vertical slice,governed entity creation,first draft,Apply an approved generated entity page into persistent hierarchy/topology.,Maintainers can create a new entity page under approved app/module/parent context.,Entity maintainer/product reviewer,root first; customer/admin later explicit,Apply creates exposure only per selected visibility stage and still requires runtime authz.,Topology/materialization authz required.,web_app_hierarchy seam plus generation/design_system seams,Page materialization complementary planning artifact,New page allowed under existing context; new app/module requires explicit topology approval.,Creates/updates generated page route/nav/hierarchy records when approved.,Persistent hierarchy/page materialization records required; no hand-edited governed routing.,Validation blocks without approved hierarchy template definition version and visibility posture.,Route changes are compatibility-sensitive and require strategy.,Integration topology frontend security audit and artifact tests expected.,Acceptable when page apply is deterministic and anchored in persistent hierarchy.
entity_builder_platform_capability,page materialization,page_visibility_stage,generation_sync,stage_page_visibility,frontend/backend vertical slice,governed entity creation,first draft,Expose generated page changes to selected users or roles before full promotion.,Customers can pilot a page/change safely before all eligible users see it.,Entity maintainer/product reviewer,root first; customer/admin later explicit,Staged visibility controls exposure only and cannot grant data/action access.,Promotion/materialization authz required.,materialization/promotion seam,Access and promotion complementary planning artifact,Stages include draft_only selected_users selected_roles support_only all_eligible_users.,Generated navigation must honor staged visibility server-side not client hiding only.,Persistent staging state/store still open architecture question.,Validation requires selected users/roles recorded and authz boundary verified.,Preview/staged links must not act as access tokens.,Security audit promotion and frontend tests expected.,Acceptable when selected users can preview without bypassing runtime authorization.
entity_builder_platform_capability,page materialization,page_visibility_promote,generation_sync,promote_page_visibility,frontend/backend vertical slice,governed entity creation,first draft,Promote staged generated page visibility to all eligible users.,Approved pages can launch intentionally after feedback and readiness checks.,Entity maintainer/product reviewer,root first; customer/admin later explicit,Promotion does not grant record/action permissions beyond runtime authz.,Promotion authz and audit required.,materialization/promotion seam,Access and promotion complementary planning artifact,Promotion complements baseline capabilities as a rollout gate.,Normal navigation/page visibility changes on promotion.,Persistent promotion evidence required.,Validation requires active/launch-approved definition readiness authz mapping and feedback resolution.,Promotion is compatibility-sensitive and auditable.,Security audit frontend and rollback tests expected.,Acceptable when launch is explicit and reversible.
entity_builder_platform_capability,page materialization,page_visibility_demote,generation_sync,demote_page_visibility,frontend/backend vertical slice,governed entity creation,first draft,Demote or roll back generated page exposure after launch or pilot.,Maintainers can hide or narrow exposure without destroying history.,Entity maintainer/product reviewer/support operator,root first; customer/admin later explicit,Demotion changes exposure only; data/action authz remains enforced.,Promotion/demotion authz and audit required.,materialization/promotion seam,Access and promotion complementary planning artifact,Supports rollback to selected users roles draft-only or support-only.,Navigation/page visibility changes according to demotion stage.,Persistent history and hierarchy preserved unless separate cleanup approved.,Validation checks route compatibility and active dependencies before demotion.,Do not destroy route/page history casually after user exposure.,Audit rollback and frontend tests expected.,Acceptable when rollback is controlled and preserves compatibility/history.
entity_builder_platform_capability,access and signoff,role_need_capture,governance_approval,capture_role_needs,design-time,governed entity creation,first draft,Capture which organizational roles need the entity and why.,The system can derive views statuses actions and permission drafts from business use.,Entity maintainer/customer product owner,root first; customer/admin later explicit,Role needs are product intent and not runtime grants.,Definition authoring authz required.,definition_registry_seam,Access and promotion complementary planning artifact,Complements baseline action/capability mapping by feeding it with role/job evidence.,Authoring UI should ask in plain language; no runtime page impact by itself.,Evidence persistence or definition section still open.,Validation ensures role needs are distinct from grants and linked to views/actions.,Cannot substitute for permission mapping or authz checks.,Discovery/validation tests and later UI tests expected.,Acceptable when role needs are captured without becoming implicit permissions.
entity_builder_platform_capability,access and signoff,signoff_request,governance_approval,request_signoff,design-time,governed entity creation,first draft,Request human/technical signoff for review-gated entity definition changes.,Reviewers can approve sensitive or compatibility-impacting decisions before activation/promotion.,Entity maintainer/reviewer,root first; customer/admin later explicit,Signoff grants approval for planning state not runtime data access.,Governance approval capability required.,definition_registry_seam,Access and promotion complementary planning artifact,Applies to lifecycle collection views page placement access promotion compliance and compatibility gates.,May surface in authoring/review UI later.,Persistence for review/signoff evidence still open.,Validation blocks activation/promotion when required signoff missing.,Approval must be audit-visible and not replace authz mapping.,Audit evidence standards and workflow tests expected.,Acceptable when signoff is explicit and tied to exact definition/materialization version.
entity_builder_platform_capability,access and signoff,signoff_record,governance_approval,record_signoff,design-time,governed entity creation,first draft,Record approval rejection or requested changes for governed entity setup.,The system preserves who approved what and why before launch.,Reviewer/approver,root first; customer/admin later explicit,Signoff actor must be authorized for the decision being recorded.,Governance approval capability required.,definition_registry_seam,Access and promotion complementary planning artifact,Signoff complements baseline validation and lifecycle activation gates.,May update review state in authoring UI later.,Persistent review evidence required before implementation.,Validation checks signoff applies to current version and unresolved blockers.,Changing after signoff may invalidate approval and require re-review.,Audit/evidence and security tests expected.,Acceptable when approvals are versioned and cannot be reused for changed content.
